id,p1,p2,winner,score,turns,time
216280788,0,0,2,25,113,1685996
216280788,0,0,1,25,106,1582893
216280788,0,0,2,25,56,875504
216280788,0,0,1,25,81,1142948
216280788,0,0,1,31,46,548291
216280787,0,0,1,25,80,1065914
216280787,0,0,2,29,75,977636
216280787,0,0,1,35,75,1151312
216280787,0,0,1,28,66,852451
216280786,0,0,1,35,27,365021
216280786,0,0,1,29,83,1106981
216280786,0,0,2,31,48,578390
216280786,0,0,2,25,98,1421247
216280785,0,0,1,26,142,1846323
216280785,0,0,2,25,97,19844588
216280785,0,0,2,25,123,2492121
216280785,0,0,2,25,106,2018555
216280784,0,0,2,27,112,1961739
216280784,0,0,2,31,84,1252105
216280784,0,0,1,25,81,1150820
216280784,0,0,1,25,89,1174057
216280784,0,0,2,36,26,335087
216280784,0,0,1,25,88,1234467
216280783,0,0,1,25,112,1613812
216280783,0,0,1,25,76,1034925
216280783,0,0,1,25,105,1538500
216280783,0,0,1,27,76,1069534
216280783,0,0,2,34,65,837489
216280783,0,0,1,35,69,940178
216280782,0,0,2,26,137,2555562
216280782,0,0,2,32,72,1311451
216280782,0,0,2,28,109,2044337
216280782,0,0,2,30,65,1196996
216280782,0,0,2,25,114,2022334
216280782,0,0,2,27,59,1065752
216280782,0,0,2,25,120,1972024
216280782,0,0,2,25,103,1436488
216280781,0,0,2,30,125,1919344
216280781,0,0,2,25,100,1484208
216280781,0,0,2,32,110,1479197
216280781,0,0,1,26,54,702728
216280781,0,0,2,29,145,2119897
216280781,0,0,1,25,111,1275751
216280781,0,0,2,25,78,989496
216280780,0,0,2,27,89,1210662
216280780,0,0,1,25,72,856490
216280780,0,0,2,40,18,270886
216280780,0,0,1,30,67,730104
216280780,0,0,2,25,102,1239463
216280780,0,0,2,32,60,725832
216280780,0,0,1,25,122,1622014
216280779,0,0,2,25,96,1261480
216280779,0,0,2,33,117,1575712
216280779,0,0,2,28,85,1090375
216280779,0,0,1,29,61,814287
216280779,0,0,2,32,86,1120596
216280779,0,0,1,29,69,871396
216280779,0,0,2,25,64,772939
216280779,0,0,2,25,117,1547936
216280778,0,0,1,25,102,1359028
216280778,0,0,2,25,82,974398
216280778,0,0,2,27,96,1238326
216280778,0,0,2,31,67,804092
216280778,0,0,1,30,51,613848
216280778,0,0,2,33,49,568149
216280778,0,0,2,33,59,665310
216280778,0,0,1,28,73,965330
216280777,0,0,2,29,73,1000737
216280777,0,0,2,27,148,2010548
216280777,0,0,1,30,91,1259766
216280777,0,0,2,30,133,1800354
216280777,0,0,2,30,79,994196
216280777,0,0,2,25,75,904019
216280777,0,0,2,25,64,803350
